"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"GARE DE PONT DU GARIGLIANO","PCG00064","Gare De Pont Du Garigliano","Rue du professeur Florian Delbarre","75015","PARIS","48.839437","2.270697"
"GARE DE INVALIDES","PCG00065","Gare De Invalides","2 rue Esnault Pelterie","75007","PARIS","48.861966","2.314909"
"GARE DE PONT CARDINET","PCG00066-161107","Gare De Pont Cardinet","145b rue Cardinet","75017","PARIS","48.887594","2.314055"
"GARE DE OZOIR LA FERRIERE","PCG00067","Gare De Ozoir La Ferrière","1 Place Roger Nicolas","77330","OZOIR-LA-FERRIERE","48.770655","2.689369"
"GARE DE VILLEPARISIS MITRY LE NEUF","PCG00068","Gare De Villeparisis Mitry Le Neuf","16 Place du 19 mars 1962","77290","MITRY-MORY","48.953236","2.602645"
"GARE DE SAINT-QUENTIN EN YVELINES","PCG00070","Gare De Saint-Quentin En Yvelines","10 place Charles de Gaulle","78180","MONTIGNY-LE-BRETONNEUX","48.786889","2.044960"
"GARE DE PARC DES EXPOSITIONS","PCG00042","Gare De Parc Des Expositions","82 avenue des Nations","93420","VILLEPINTE","48.973706","2.513933"
"GARE DE LA VERRIERE","PCG00072","Gare De La Verrière","Av Guy Schuler","78320","LA VERRIERE","48.755651","1.943716"
"GARE DE PONTOISE","PCG00053","Gare De Pontoise","1 Avenue d'Epineuil","95300","PONTOISE","49.046250","2.093798"
"GARE DE SAINT-CYR","PCG00073","Gare De Saint-Cyr","7 Place Pierre Sémard","78210","SAINT-CYR-L'ECOLE","48.799004","2.073397"
"GARE DE MEAUX","PCG00016","Gare De Meaux","Place de la gare","77100","MEAUX","48.957660","2.874410"
"GARE DE LE BRAS DE FER - EVRY GENOPOLE","PCG00075","Gare De Le Bras De Fer - Evry Génopole","Place du 19 mars 1962","91000","EVRY","48.623314","2.450626"
"GARE DE SAVIGNY SUR ORGE","PCG00076","Gare De Savigny Sur Orge","Place de la gare","91600","SAVIGNY-SUR-ORGE","48.676151","2.351644"
"GARE DE CRETEIL POMPADOUR","PCG00096","Gare De Creteil Pompadour","Chemin des Boeufs","94000","CRETEIL","48.772316","2.435585"
